# id,x,y,name,rate,basePwr(kw/h),fullPwr(kw/h),phase(h)
1,0,5,edge-1,25,null,null,null
2,5,0,core-2,80,240,1600,0
3,20,0,edge-3,15,null,null,null
4,20,5,edge-4,20,null,null,null
5,5,5,edge-5,15,null,null,null
6,5,15,core-6,55,165,1100,-8
7,20,10,edge-7,5,null,null,null
8,25,10,edge-8,5,null,null,null
9,20,15,core-9,50,150,1000,8
10,15,15,edge-10,15,null,null,null
11,10,15,edge-11,15,null,null,null
12,0,20,edge-12,20,null,null,null
13,5,20,edge-13,15,null,null,null
14,20,20,edge-14,15,null,null,null

# left down is 0.0
